date,match_num,home,away,scanned_at
2026-06-11,1,Mexico,South Africa,2026-06-11T00:00:00Z
2026-06-11,2,South Korea,Czechia,2026-06-11T00:00:00Z
2026-06-12,3,Canada,Bosnia and Herzegovina,2026-06-13T11:25:00Z
2026-06-12,4,United States,Paraguay,2026-06-13T11:25:00Z
2026-06-13,8,Qatar,Switzerland,2026-06-14T13:45:35Z
2026-06-13,7,Brazil,Morocco,2026-06-14T13:45:35Z
2026-06-13,5,Haiti,Scotland,2026-06-14T13:45:35Z
2026-06-13,6,Australia,Turkey,2026-06-14T13:45:35Z
2026-06-14,9,Ivory Coast,Ecuador,2026-06-15T22:03:27Z
2026-06-14,10,Germany,Curaçao,2026-06-15T22:03:27Z
2026-06-14,11,Netherlands,Japan,2026-06-15T22:03:27Z
2026-06-14,12,Sweden,Tunisia,2026-06-15T22:03:27Z
2026-06-15,14,Spain,Cape Verde,2026-06-15T22:03:27Z
2026-06-15,16,Belgium,Egypt,2026-06-15T22:03:27Z
2026-06-15,13,Saudi Arabia,Uruguay,2026-06-16T11:10:59Z
2026-06-15,15,Iran,New Zealand,2026-06-16T11:10:59Z
2026-06-16,17,France,Senegal,2026-06-17T22:13:47Z
2026-06-16,18,Iraq,Norway,2026-06-17T22:13:47Z
2026-06-16,19,Argentina,Algeria,2026-06-17T22:13:47Z
2026-06-16,20,Austria,Jordan,2026-06-17T22:13:47Z
2026-06-17,21,Portugal,DR Congo,2026-06-17T22:13:47Z
2026-06-17,22,England,Croatia,2026-06-17T22:13:47Z
2026-06-17,23,Ghana,Panama,2026-06-18T18:38:40Z
2026-06-17,24,Uzbekistan,Colombia,2026-06-18T18:38:40Z
2026-06-18,25,Czechia,South Africa,2026-06-18T18:38:40Z
2026-06-18,26,Switzerland,Bosnia and Herzegovina,2026-06-18T22:26:29Z
2026-06-18,27,Canada,Qatar,2026-06-19T11:24:58Z
2026-06-18,28,Mexico,South Korea,2026-06-19T11:24:58Z
2026-06-20,33,Netherlands,Sweden,2026-06-20T20:17:09Z
2026-06-20,34,Germany,Ivory Coast,2026-06-21T18:17:49Z
2026-06-20,35,Ecuador,Curaçao,2026-06-21T18:17:49Z
2026-06-21,36,Tunisia,Japan,2026-06-23T15:08:33Z
2026-06-21,37,Spain,Saudi Arabia,2026-06-23T15:08:33Z
2026-06-21,38,Belgium,Iran,2026-06-23T15:08:33Z
2026-06-21,39,Uruguay,Cape Verde,2026-06-23T15:08:33Z
2026-06-21,40,New Zealand,Egypt,2026-06-23T15:08:33Z
2026-06-22,41,Argentina,Austria,2026-06-23T15:08:33Z
2026-06-22,42,France,Iraq,2026-06-23T15:08:33Z
2026-06-22,43,Norway,Senegal,2026-06-23T15:08:33Z
2026-06-22,44,Jordan,Algeria,2026-06-23T15:08:33Z
2026-06-19,29,United States,Australia,2026-06-23T15:10:45Z
2026-06-19,30,Scotland,Morocco,2026-06-23T15:10:45Z
2026-06-19,31,Brazil,Haiti,2026-06-23T15:10:45Z
2026-06-19,32,Turkey,Paraguay,2026-06-23T15:10:45Z
2026-06-23,45,Portugal,Uzbekistan,2026-06-25T00:08:11Z
2026-06-23,46,England,Ghana,2026-06-25T00:08:11Z
2026-06-23,47,Panama,Croatia,2026-06-25T00:08:11Z
2026-06-23,48,Colombia,DR Congo,2026-06-25T00:08:11Z
2026-06-24,49,Bosnia and Herzegovina,Qatar,2026-06-25T00:08:11Z
2026-06-24,50,Switzerland,Canada,2026-06-25T00:08:11Z
2026-06-24,51,Morocco,Haiti,2026-06-25T00:08:11Z
2026-06-24,52,Scotland,Brazil,2026-06-25T00:08:11Z
2026-06-24,53,Mexico,Czechia,2026-06-25T17:03:35Z
2026-06-24,54,South Africa,South Korea,2026-06-25T17:03:35Z
2026-06-25,55,Turkey,United States,2026-06-26T12:27:02Z
2026-06-25,56,Paraguay,Australia,2026-06-26T12:27:02Z
2026-06-25,57,Curaçao,Ivory Coast,2026-06-26T12:27:02Z
2026-06-25,58,Ecuador,Germany,2026-06-26T12:27:02Z
2026-06-25,59,Japan,Sweden,2026-06-26T12:27:02Z
2026-06-25,60,Tunisia,Netherlands,2026-06-26T12:27:02Z
2026-06-26,61,Senegal,Iraq,2026-06-27T11:30:18Z
2026-06-26,62,Norway,France,2026-06-27T11:30:18Z
2026-06-26,63,Uruguay,Spain,2026-06-27T11:30:18Z
2026-06-26,64,Cape Verde,Saudi Arabia,2026-06-27T11:30:18Z
2026-06-26,65,Egypt,Iran,2026-06-27T11:30:18Z
2026-06-26,66,New Zealand,Belgium,2026-06-27T11:30:18Z
2026-06-27,67,Panama,England,2026-06-28T15:10:54Z
2026-06-27,68,Croatia,Ghana,2026-06-28T15:10:54Z
2026-06-27,69,Algeria,Austria,2026-06-28T15:10:54Z
2026-06-27,70,Jordan,Argentina,2026-06-28T15:10:54Z
2026-06-27,71,Colombia,Portugal,2026-06-28T15:10:54Z
2026-06-27,72,DR Congo,Uzbekistan,2026-06-28T15:10:54Z
2026-06-28,73,South Africa,Canada,2026-06-29T01:33:26Z
2026-06-29,76,Brazil,Japan,2026-06-29T21:46:33Z
