date,match_num,home,away,p_home,p_draw,p_away,source
2026-06-11,1,Mexico,South Africa,0.451,0.230,0.319,opening_fixtures
2026-06-11,2,South Korea,Czechia,0.613,0.215,0.172,opening_fixtures
2026-06-12,3,Canada,Bosnia and Herzegovina,0.318,0.240,0.442,opening_fixtures
2026-06-12,4,United States,Paraguay,0.574,0.220,0.206,opening_fixtures
2026-06-13,5,Haiti,Scotland,0.380,0.260,0.360,market_estimate
2026-06-13,6,Australia,Turkey,0.480,0.250,0.270,market_estimate
2026-06-13,7,Brazil,Morocco,0.520,0.240,0.240,market_estimate
2026-06-13,8,Qatar,Switzerland,0.280,0.270,0.450,market_estimate
2026-06-14,9,Ivory Coast,Ecuador,0.560,0.230,0.210,market_estimate
2026-06-14,10,Germany,Curaçao,0.620,0.210,0.170,market_estimate
2026-06-14,11,Netherlands,Japan,0.420,0.260,0.320,market_estimate
2026-06-14,12,Sweden,Tunisia,0.480,0.260,0.260,market_estimate
2026-06-15,13,Saudi Arabia,Uruguay,0.220,0.260,0.520,market_estimate
2026-06-15,14,Spain,Cape Verde,0.720,0.180,0.100,market_estimate
2026-06-15,15,Iran,New Zealand,0.580,0.240,0.180,market_estimate
2026-06-15,16,Belgium,Egypt,0.620,0.220,0.160,market_estimate
2026-06-16,17,France,Senegal,0.680,0.200,0.120,market_estimate
2026-06-16,18,Iraq,Norway,0.320,0.260,0.420,market_estimate
2026-06-16,19,Argentina,Algeria,0.650,0.220,0.130,market_estimate
2026-06-16,20,Austria,Jordan,0.520,0.260,0.220,market_estimate
2026-06-17,21,Portugal,DR Congo,0.620,0.220,0.160,market_estimate
2026-06-17,22,England,Croatia,0.480,0.260,0.260,market_estimate
2026-06-17,23,Ghana,Panama,0.450,0.270,0.280,market_estimate
2026-06-17,24,Uzbekistan,Colombia,0.280,0.260,0.460,market_estimate
