date,match_num,group,home,away,home_goals,away_goals,venue,stadium,neutral
2026-06-11,1,A,Mexico,South Africa,2,0,Mexico City,Estadio Azteca,False
2026-06-11,2,A,South Korea,Czechia,2,1,Guadalajara,Estadio Akron,True
2026-06-12,3,B,Canada,Bosnia and Herzegovina,1,1,Toronto,BMO Field,False
2026-06-12,4,D,United States,Paraguay,4,1,Los Angeles,SoFi Stadium,False
2026-06-13,8,B,Qatar,Switzerland,1,1,San Francisco,Levi's Stadium,True
2026-06-13,7,C,Brazil,Morocco,1,1,New York,MetLife Stadium,True
2026-06-13,5,C,Haiti,Scotland,0,1,Boston,Gillette Stadium,True
2026-06-13,6,D,Australia,Turkey,2,0,Vancouver,BC Place,True
2026-06-14,9,E,Ivory Coast,Ecuador,1,0,Philadelphia,Lincoln Financial Field,True
2026-06-14,10,E,Germany,Curaçao,7,1,Houston,NRG Stadium,True
2026-06-14,11,F,Netherlands,Japan,2,2,Dallas,AT&T Stadium,True
2026-06-14,12,F,Sweden,Tunisia,5,1,Monterrey,Estadio BBVA,True
2026-06-15,14,H,Spain,Cape Verde,0,0,Atlanta,Mercedes-Benz Stadium,True
2026-06-15,16,G,Belgium,Egypt,1,1,Seattle,Lumen Field,True
2026-06-15,13,H,Saudi Arabia,Uruguay,1,1,Miami,Hard Rock Stadium,True
2026-06-15,15,G,Iran,New Zealand,2,2,Los Angeles,SoFi Stadium,True
2026-06-16,17,I,France,Senegal,3,1,New York,MetLife Stadium,True
2026-06-16,18,I,Iraq,Norway,1,4,Boston,Gillette Stadium,True
2026-06-16,19,J,Argentina,Algeria,3,0,Kansas City,Arrowhead Stadium,True
2026-06-16,20,J,Austria,Jordan,3,1,San Francisco,Levi's Stadium,True
2026-06-17,21,K,Portugal,DR Congo,1,1,Houston,NRG Stadium,True
2026-06-17,22,L,England,Croatia,4,2,Dallas,AT&T Stadium,True
