player,team,club
Lamine Yamal,Spain,Barcelona
Pedri,Spain,Barcelona
Gavi,Spain,Barcelona
Ferran Torres,Spain,Barcelona
Marc Cucurella,Spain,Barcelona
Rodri,Spain,Manchester City
Dani Carvajal,Spain,Real Madrid
Federico Valverde,Spain,Real Madrid
Alejandro Grimaldo,Spain,Bayer Leverkusen
Harry Kane,England,Bayern Munich
Bukayo Saka,England,Arsenal
Declan Rice,England,Arsenal
Phil Foden,England,Manchester City
John Stones,England,Manchester City
Kyle Walker,England,Manchester City
Trent Alexander-Arnold,England,Liverpool
Jude Bellingham,England,Real Madrid
Kylian Mbappe,France,Real Madrid
Antoine Griezmann,France,Atletico Madrid
Ousmane Dembele,France,Paris Saint-Germain
Warren Zaire-Emery,France,Paris Saint-Germain
Vitinha,France,Paris Saint-Germain
Aurelien Tchouameni,France,Real Madrid
Eduardo Camavinga,France,Real Madrid
Vinicius Junior,Brazil,Real Madrid
Rodrygo,Brazil,Real Madrid
Eder Militao,Brazil,Real Madrid
Endrick,Brazil,Real Madrid
Alisson,Brazil,Liverpool
Raphinha,Brazil,Barcelona
Bruno Guimaraes,Brazil,Newcastle United
Lionel Messi,Argentina,Inter Miami
Julian Alvarez,Argentina,Atletico Madrid
Lautaro Martinez,Argentina,Inter Milan
Nicolas Otamendi,Argentina,Benfica
Enzo Fernandez,Argentina,Chelsea
Giovani Lo Celso,Argentina,Tottenham
Cristiano Ronaldo,Portugal,Al Nassr
Bernardo Silva,Portugal,Manchester City
Ruben Dias,Portugal,Manchester City
Bruno Fernandes,Portugal,Manchester United
Diogo Jota,Portugal,Liverpool
Rafael Leao,Portugal,AC Milan
Pepe,Portugal,Porto
Jamal Musiala,Germany,Bayern Munich
Joshua Kimmich,Germany,Bayern Munich
Leroy Sane,Germany,Bayern Munich
Manuel Neuer,Germany,Bayern Munich
Florian Wirtz,Germany,Bayer Leverkusen
Jonathan Tah,Germany,Bayer Leverkusen
Jeremie Frimpong,Germany,Bayer Leverkusen
Virgil van Dijk,Netherlands,Liverpool
Cody Gakpo,Netherlands,Liverpool
Frenkie de Jong,Netherlands,Barcelona
Kevin De Bruyne,Belgium,Manchester City
Jeremy Doku,Belgium,Manchester City
Thibaut Courtois,Belgium,Real Madrid
Achraf Hakimi,Morocco,Paris Saint-Germain
Sofyan Amrabat,Morocco,Manchester United
Hakim Ziyech,Morocco,Galatasaray
Son Heung-min,South Korea,Tottenham
Kim Min-jae,South Korea,Bayern Munich
Lee Kang-in,South Korea,Paris Saint-Germain
Edson Alvarez,Mexico,West Ham
Santiago Gimenez,Mexico,Feyenoord
Hector Herrera,Mexico,CF Monterrey
Gilberto Mora,Mexico,Monterrey
Alphonso Davies,Canada,Bayern Munich
Jonathan David,Canada,Lille
Cyle Larin,Canada,Lille
Jonathan Osorio,Canada,Toronto FC
Sam Adekugbe,Canada,Hatayspor
Christian Pulisic,United States,AC Milan
Yunus Musah,United States,AC Milan
Weston McKennie,United States,Juventus
