team,squad_value_meur
Algeria,180
Argentina,980
Australia,95
Austria,320
Belgium,650
Bosnia and Herzegovina,95
Brazil,1100
Canada,75
Cape Verde,30
Colombia,390
Croatia,420
Curaçao,6
Czechia,280
DR Congo,120
Ecuador,220
Egypt,95
England,1450
France,1250
Germany,880
Ghana,150
Haiti,8
Iran,45
Iraq,10
Ivory Coast,280
Japan,300
Jordan,12
Mexico,210
Morocco,350
Netherlands,780
New Zealand,8
Norway,310
Panama,18
Paraguay,140
Portugal,920
Qatar,20
Saudi Arabia,120
Scotland,200
Senegal,290
South Africa,25
South Korea,185
Spain,1050
Sweden,260
Switzerland,280
Tunisia,65
Turkey,350
United States,320
Uruguay,480
Uzbekistan,35
