snapshot_id,snapshot_date,checkpoint,matches_completed,winner,runner_up,probability
pre_opening,2026-06-10,pre_opening,0,France,Spain,0.014
pre_opening,2026-06-10,pre_opening,0,France,England,0.012
pre_opening,2026-06-10,pre_opening,0,Spain,France,0.011
pre_opening,2026-06-10,pre_opening,0,England,Spain,0.011
pre_opening,2026-06-10,pre_opening,0,Spain,England,0.011
pre_opening,2026-06-10,pre_opening,0,England,France,0.01
pre_opening,2026-06-10,pre_opening,0,France,Portugal,0.009
pre_opening,2026-06-10,pre_opening,0,France,Brazil,0.009
pre_opening,2026-06-10,pre_opening,0,Spain,Brazil,0.009
pre_opening,2026-06-10,pre_opening,0,Portugal,France,0.008
after_match_2,2026-06-12,after_match_2,2,Spain,France,0.0145
after_match_2,2026-06-12,after_match_2,2,France,England,0.0131
after_match_2,2026-06-12,after_match_2,2,France,Spain,0.0121
after_match_2,2026-06-12,after_match_2,2,Spain,England,0.012
after_match_2,2026-06-12,after_match_2,2,France,Brazil,0.0101
after_match_2,2026-06-12,after_match_2,2,Spain,Portugal,0.01
after_match_2,2026-06-12,after_match_2,2,Spain,Argentina,0.0099
after_match_2,2026-06-12,after_match_2,2,France,Portugal,0.0097
after_match_2,2026-06-12,after_match_2,2,England,Spain,0.0096
after_match_2,2026-06-12,after_match_2,2,Portugal,France,0.0094
after_match_2,2026-06-12,after_match_2,2,England,Portugal,0.0092
after_match_2,2026-06-12,after_match_2,2,Portugal,Spain,0.0091
after_match_2,2026-06-12,after_match_2,2,France,Argentina,0.0087
after_match_2,2026-06-12,after_match_2,2,France,Germany,0.0086
after_match_2,2026-06-12,after_match_2,2,Spain,Brazil,0.0086
after_match_2,2026-06-12,after_match_2,2,Argentina,France,0.0083
after_match_2,2026-06-12,after_match_2,2,England,France,0.0083
after_match_2,2026-06-12,after_match_2,2,Portugal,England,0.0074
after_match_2,2026-06-12,after_match_2,2,England,Argentina,0.0067
after_match_2,2026-06-12,after_match_2,2,Argentina,Spain,0.0065
after_match_4,2026-06-13,after_match_4,4,Spain,France,0.0117
after_match_4,2026-06-13,after_match_4,4,France,Spain,0.0108
after_match_4,2026-06-13,after_match_4,4,Spain,Argentina,0.009
after_match_4,2026-06-13,after_match_4,4,France,Portugal,0.0087
after_match_4,2026-06-13,after_match_4,4,Portugal,Spain,0.0084
after_match_4,2026-06-13,after_match_4,4,Spain,England,0.0084
after_match_4,2026-06-13,after_match_4,4,France,England,0.0084
after_match_4,2026-06-13,after_match_4,4,Spain,Portugal,0.0082
after_match_4,2026-06-13,after_match_4,4,Portugal,France,0.008
after_match_4,2026-06-13,after_match_4,4,France,Brazil,0.0076
after_match_4,2026-06-13,after_match_4,4,England,Portugal,0.0076
after_match_4,2026-06-13,after_match_4,4,England,France,0.0074
after_match_4,2026-06-13,after_match_4,4,Brazil,Portugal,0.0067
after_match_4,2026-06-13,after_match_4,4,Brazil,Spain,0.0065
after_match_4,2026-06-13,after_match_4,4,France,Argentina,0.0063
after_match_4,2026-06-13,after_match_4,4,Argentina,France,0.0061
after_match_4,2026-06-13,after_match_4,4,Argentina,Spain,0.0061
after_match_4,2026-06-13,after_match_4,4,Portugal,England,0.006
after_match_4,2026-06-13,after_match_4,4,Portugal,Brazil,0.006
after_match_4,2026-06-13,after_match_4,4,Portugal,Argentina,0.0057
after_match_8,2026-06-14,after_match_8,8,France,England,0.0122
after_match_8,2026-06-14,after_match_8,8,Spain,France,0.0102
after_match_8,2026-06-14,after_match_8,8,Spain,England,0.0091
after_match_8,2026-06-14,after_match_8,8,England,Portugal,0.0091
after_match_8,2026-06-14,after_match_8,8,France,Spain,0.0089
after_match_8,2026-06-14,after_match_8,8,England,France,0.0084
after_match_8,2026-06-14,after_match_8,8,France,Portugal,0.0083
after_match_8,2026-06-14,after_match_8,8,England,Spain,0.0082
after_match_8,2026-06-14,after_match_8,8,France,Argentina,0.0075
after_match_8,2026-06-14,after_match_8,8,Spain,Portugal,0.007
after_match_8,2026-06-14,after_match_8,8,Spain,Brazil,0.0066
after_match_8,2026-06-14,after_match_8,8,Portugal,England,0.0064
after_match_8,2026-06-14,after_match_8,8,England,Argentina,0.0063
after_match_8,2026-06-14,after_match_8,8,France,Brazil,0.0062
after_match_8,2026-06-14,after_match_8,8,Portugal,Spain,0.0061
after_match_8,2026-06-14,after_match_8,8,Portugal,France,0.0061
after_match_8,2026-06-14,after_match_8,8,Brazil,Portugal,0.0058
after_match_8,2026-06-14,after_match_8,8,Brazil,England,0.0057
after_match_8,2026-06-14,after_match_8,8,England,Brazil,0.0056
after_match_8,2026-06-14,after_match_8,8,France,Germany,0.0056
after_match_14,2026-06-15,after_match_14,14,Spain,France,0.0142
after_match_14,2026-06-15,after_match_14,14,Spain,England,0.0124
after_match_14,2026-06-15,after_match_14,14,Spain,Portugal,0.012
after_match_14,2026-06-15,after_match_14,14,France,Spain,0.0107
after_match_14,2026-06-15,after_match_14,14,Spain,Brazil,0.0099
after_match_14,2026-06-15,after_match_14,14,France,England,0.0099
after_match_14,2026-06-15,after_match_14,14,Spain,Argentina,0.0084
after_match_14,2026-06-15,after_match_14,14,England,Spain,0.0078
after_match_14,2026-06-15,after_match_14,14,England,France,0.0077
after_match_14,2026-06-15,after_match_14,14,France,Brazil,0.0077
after_match_14,2026-06-15,after_match_14,14,France,Portugal,0.0077
after_match_14,2026-06-15,after_match_14,14,Brazil,Spain,0.0076
after_match_14,2026-06-15,after_match_14,14,Brazil,England,0.0075
after_match_14,2026-06-15,after_match_14,14,France,Argentina,0.0071
after_match_14,2026-06-15,after_match_14,14,Spain,Germany,0.0069
after_match_14,2026-06-15,after_match_14,14,Portugal,Spain,0.0066
after_match_14,2026-06-15,after_match_14,14,Portugal,France,0.0063
after_match_14,2026-06-15,after_match_14,14,Argentina,France,0.0054
after_match_14,2026-06-15,after_match_14,14,England,Portugal,0.0049
after_match_14,2026-06-15,after_match_14,14,Brazil,Portugal,0.0048
after_match_16,2026-06-16,after_match_16,16,Spain,France,0.0161
after_match_16,2026-06-16,after_match_16,16,Spain,Argentina,0.0139
after_match_16,2026-06-16,after_match_16,16,Spain,Portugal,0.0136
after_match_16,2026-06-16,after_match_16,16,Spain,England,0.0133
